psgc_10_digit,name,geographic_level,urban_rural,correspondence_code,income_classification,municipality_psgc_code,province_name
1900705002,Guiong,Bgy,R,150705002,,1900705,Basilan
1900705003,Bacung,Bgy,R,150705003,,1900705,Basilan
1900705004,Baiwas,Bgy,R,150705004,,1900705,Basilan
1900705005,Balagtasan,Bgy,R,150705005,,1900705,Basilan
1900705006,Baluco,Bgy,R,150705006,,1900705,Basilan
1900705007,Benembengan,Bgy,R,150705007,,1900705,Basilan
1900705008,Bohe-Langsanan,Bgy,R,150705008,,1900705,Basilan
1900705009,Bohe-Sayan,Bgy,R,150705009,,1900705,Basilan
1900705010,Bukut-Umal,Bgy,R,150705010,,1900705,Basilan
1900705011,Cabengbeng Lower,Bgy,R,150705011,,1900705,Basilan
1900705012,Cabengbeng Upper,Bgy,R,150705012,,1900705,Basilan
1900705013,Central Sumisip,Bgy,R,150705013,,1900705,Basilan
1900705014,Ettub-Ettub,Bgy,R,150705014,,1900705,Basilan
1900705015,Hebron,Bgy,R,150705015,,1900705,Basilan
1900705016,Kaumpamatsak,Bgy,R,150705016,,1900705,Basilan
1900705017,Libug,Bgy,R,150705017,,1900705,Basilan
1900705018,Limbocandis,Bgy,R,150705018,,1900705,Basilan
1900705019,Lukketon,Bgy,R,150705019,,1900705,Basilan
1900705020,Luuk-Malam,Bgy,R,150705020,,1900705,Basilan
1900705021,Mabuhay,Bgy,R,150705021,,1900705,Basilan
1900705022,Mahatalang,Bgy,R,150705022,,1900705,Basilan
1900705023,Manaul,Bgy,R,150705023,,1900705,Basilan
1900705024,Mangal,Bgy,U,150705024,,1900705,Basilan
1900705025,Marang,Bgy,R,150705025,,1900705,Basilan
1900705026,Mebak,Bgy,R,150705026,,1900705,Basilan
1900705027,Sapah Bulak,Bgy,R,150705027,,1900705,Basilan
1900705028,St. Peter,Bgy,R,150705028,,1900705,Basilan
1900705029,Tikong,Bgy,R,150705029,,1900705,Basilan
1900705030,Tongsengal,Bgy,R,150705030,,1900705,Basilan
1900705031,Tumahubong,Bgy,U,150705031,,1900705,Basilan
1900705032,Turan,Bgy,R,150705032,,1900705,Basilan
1900706001,Badja,Bgy,R,150706001,,1900706,Basilan
1900706002,Bohe-Bayan,Bgy,R,150706002,,1900706,Basilan
1900706003,Bohe-Pahuh,Bgy,R,150706003,,1900706,Basilan
1900706004,Bohe-Suang,Bgy,R,150706004,,1900706,Basilan
1900706005,Banggaga,Bgy,R,150706005,,1900706,Basilan
1900706006,Lagayan,Bgy,R,150706006,,1900706,Basilan
1900706007,Limook,Bgy,R,150706007,,1900706,Basilan
1900706008,Paddasan,Bgy,R,150706008,,1900706,Basilan
1900706009,Silangkum,Bgy,R,150706009,,1900706,Basilan
1900706010,Tambo,Bgy,R,150706010,,1900706,Basilan
1900706011,Tipo-Tipo Proper,Bgy,U,150706011,,1900706,Basilan
1900707001,Calugusan,Bgy,R,150707001,,1900707,Basilan
1900707002,Lahi-Lahi,Bgy,R,150707002,,1900707,Basilan
1900707003,Lower Sinangkapan,Bgy,R,150707003,,1900707,Basilan
1900707004,Mahayahay,Bgy,R,150707004,,1900707,Basilan
1900707005,Maligaya,Bgy,R,150707005,,1900707,Basilan
1900707006,Katipunan,Bgy,R,150707006,,1900707,Basilan
1900707007,San Roque,Bgy,R,150707007,,1900707,Basilan
1900707008,Tablas,Bgy,R,150707008,,1900707,Basilan
1900707009,Upper Sinangkapan,Bgy,R,150707009,,1900707,Basilan
1900707010,Calut,Bgy,R,150707010,,1900707,Basilan
1900708001,Amoyloi,Bgy,R,150708001,,1900708,Basilan
1900708002,Caddayan,Bgy,R,150708002,,1900708,Basilan
1900708003,Linuan,Bgy,R,150708003,,1900708,Basilan
1900708004,Mangalut,Bgy,R,150708004,,1900708,Basilan
1900708005,Semut,Bgy,R,150708005,,1900708,Basilan
1900708006,Sindangan,Bgy,R,150708006,,1900708,Basilan
1900708007,Upper Bato-Bato,Bgy,R,150708007,,1900708,Basilan
1900708008,Lower Bato-Bato,Bgy,R,150708008,,1900708,Basilan
1900708009,Calugusan,Bgy,R,150708009,,1900708,Basilan
1900709001,Apil-Apil,Bgy,R,150709001,,1900709,Basilan
1900709002,Bucalao,Bgy,R,150709002,,1900709,Basilan
1900709003,Cambug,Bgy,R,150709003,,1900709,Basilan
1900709004,Danapah,Bgy,R,150709004,,1900709,Basilan
1900709005,Guinanta,Bgy,R,150709005,,1900709,Basilan
1900709006,Kailih,Bgy,R,150709006,,1900709,Basilan
1900709007,Kinamaddis,Bgy,R,150709007,,1900709,Basilan
1900709008,Linungusan,Bgy,R,150709008,,1900709,Basilan
1900709009,Logon Proper,Bgy,R,150709009,,1900709,Basilan
1900709010,Look,Bgy,R,150709010,,1900709,Basilan
1900709011,Macalang,Bgy,R,150709011,,1900709,Basilan
1900709012,Magkawa,Bgy,R,150709012,,1900709,Basilan
1900709013,Sangbay Small,Bgy,R,150709013,,1900709,Basilan
1900709014,Tandong Ahas,Bgy,R,150709014,,1900709,Basilan
1900709015,Bohe-Piang,Bgy,R,150709015,,1900709,Basilan
1900709016,Kuhon,Bgy,R,150709016,,1900709,Basilan
1900710001,Basakan,Bgy,R,150710001,,1900710,Basilan
1900710002,Buton,Bgy,R,150710002,,1900710,Basilan
1900710003,Candiis,Bgy,R,150710003,,1900710,Basilan
1900710004,Langil,Bgy,R,150710004,,1900710,Basilan
1900710005,Sibut,Bgy,R,150710005,,1900710,Basilan
1900710006,Sulutan-Matangal,Bgy,R,150710006,,1900710,Basilan
1900710007,Tuburan Proper,Bgy,R,150710007,,1900710,Basilan
1900710008,Pangasaan,Bgy,R,150710008,,1900710,Basilan
1900710009,Malamawi,Bgy,R,150710009,,1900710,Basilan
1900710010,Guiong,Bgy,R,150710010,,1900710,Basilan
1900710011,Balatasan,Bgy,R,150710011,,1900710,Basilan
1900711001,Baluk-baluk,Bgy,R,150711001,,1900711,Basilan
1900711002,Dasalan,Bgy,R,150711002,,1900711,Basilan
1900711003,Luukbungsod,Bgy,R,150711003,,1900711,Basilan
1900711004,Palahangan,Bgy,R,150711004,,1900711,Basilan
1900711005,Panducan,Bgy,R,150711005,,1900711,Basilan
1900711006,Sangbay Big,Bgy,R,150711006,,1900711,Basilan
1900711007,Sibago,Bgy,R,150711007,,1900711,Basilan
1900711008,Tausan,Bgy,R,150711008,,1900711,Basilan
1900711009,Bubuan,Bgy,R,150711009,,1900711,Basilan
1900711010,Ulitan,Bgy,R,150711010,,1900711,Basilan
1900712001,Babag,Bgy,R,150712001,,1900712,Basilan
1900712002,Balanting,Bgy,R,150712002,,1900712,Basilan
1900712003,Boloh-Boloh,Bgy,R,150712003,,1900712,Basilan
1900712004,Bukut-Umal,Bgy,R,150712004,,1900712,Basilan
1900712005,Kaumpurnah,Bgy,R,150712005,,1900712,Basilan
1900712006,Lanha-an,Bgy,R,150712006,,1900712,Basilan
1900712007,Pisak-Pisak,Bgy,R,150712007,,1900712,Basilan
1900712008,Saluping,Bgy,R,150712008,,1900712,Basilan
1900712009,Suligan,Bgy,R,150712009,,1900712,Basilan
1900712010,Tong-Umal,Bgy,R,150712010,,1900712,Basilan
1900712011,Tubigan,Bgy,R,150712011,,1900712,Basilan
1900712012,Zamboasihan,Bgy,R,150712012,,1900712,Basilan
